timestamp,Logs,Magic_logs,Yew_logs,Maple_logs,Willow_logs,Oak_logs
1615924800,73,1002,233,9,17,48
1616011200,72,1006,234,9,16,49
1616097600,70,1010,234,9,17,48
1616184000,67,1006,243,10,16,46
1616270400,66,1004,235,9,16,38
1616356800,62,1008,235,9,16,42
1616443200,64,1022,237,9,16,38
1616529600,58,1033,241,9,17,40
1616616000,60,1036,241,10,17,38
1616702400,62,1031,240,10,16,38
1616788800,62,1023,240,10,16,44
1616875200,62,1015,236,9,16,43
1616961600,60,1005,233,9,17,48
1617048000,60,1021,235,9,17,47
1617134400,60,1027,236,9,16,44
1617220800,60,1047,233,9,17,42
1617307200,59,1049,236,9,17,47
1617393600,56,1025,234,9,17,47
1617480000,55,1015,232,9,16,51
1617566400,52,1018,229,9,16,54
1617652800,50,1016,228,9,17,53
1617739200,50,1018,218,10,17,57
1617825600,35,1021,222,10,17,47
1617912000,44,1008,224,10,17,60
1617998400,38,1011,226,9,17,54
1618088400,30,999,217,10,18,48
1618171200,37,998,224,10,22,50
1618261200,26,1004,225,10,19,48
1618347600,35,1003,225,10,21,48
1618430400,37,997,223,10,20,53
1618516800,37,992,222,11,20,56
1618603200,36,990,222,10,19,77
1618689600,36,991,218,10,19,66
1618776000,37,989,211,10,19,66
1618862400,40,996,214,10,18,68
1618948800,40,996,217,11,19,67
1619035200,40,997,218,10,19,65
1619121600,41,1000,223,10,18,57
1619208000,39,997,218,10,19,55
1619316000,39,990,216,11,18,58
1619380800,40,996,222,10,18,58
1619467200,43,1015,230,11,18,57
1619553600,43,1060,234,10,18,56
1619640000,44,1052,236,11,19,56
1619726400,43,1020,235,11,19,57
1619823600,44,1015,231,11,19,56
1619899200,45,1002,231,11,20,61
1619989200,54,1002,225,11,19,71
1620072000,51,1017,223,11,19,76
1620158400,51,1010,212,11,19,72
1620244800,52,1032,220,11,19,71
1620331200,54,1028,233,14,18,70
1620417600,54,1029,243,14,19,74
1620504000,54,1037,231,14,18,73
1620590400,54,1031,242,14,19,75
1620676800,55,1041,241,14,18,74
1620763200,56,1034,242,14,18,73
1620849600,55,1012,241,14,19,72
1620936000,15,1012,241,15,19,71
1621022400,18,1018,238,14,19,73
1621108800,39,1005,237,14,19,71
1621195200,37,1012,232,14,19,72
