timestamp,fire_rune,water_rune,air_rune,earth_rune,mind_rune,body_rune,death_rune,nature_rune,chaos_rune,law_rune,cosmic_rune,blood_rune,soul_rune
1615924800,5,5,5,5,3,5,206,194,43,145,161,393,144
1616011200,5,4,5,5,3,6,203,193,47,146,161,389,140
1616097600,5,5,5,4,4,5,203,187,48,144,156,390,142
1616184000,5,5,5,5,4,6,202,187,48,144,154,389,144
1616270400,4,5,4,5,4,6,201,187,47,139,149,390,143
1616356800,5,5,5,4,3,6,198,186,46,132,121,386,120
1616443200,4,4,4,4,4,6,197,190,48,133,138,382,133
1616529600,5,4,4,5,4,6,196,193,47,132,137,381,138
1616616000,5,5,5,5,3,6,196,191,47,133,136,379,140
1616702400,5,5,5,5,3,6,196,190,47,132,137,377,145
1616788800,5,5,5,5,3,6,195,189,46,134,139,374,144
1616875200,5,4,5,5,3,6,195,188,47,137,139,371,142
1616961600,5,4,5,4,3,6,194,187,45,136,139,369,141
1617048000,5,4,4,4,3,5,195,188,45,132,144,369,143
1617134400,4,5,4,5,4,5,193,186,44,132,141,369,123
1617220800,5,5,4,4,4,6,193,186,44,132,140,371,140
1617307200,5,5,5,4,4,6,192,187,46,134,140,375,142
1617393600,5,5,5,5,3,5,191,184,46,133,139,379,141
1617480000,5,5,5,5,4,6,191,184,47,126,140,382,143
1617566400,6,5,5,5,4,6,192,182,47,129,152,381,142
1617652800,5,5,5,4,3,5,193,183,46,127,140,382,141
1617739200,5,5,5,5,1,5,193,182,44,126,143,382,142
1617825600,5,5,4,5,4,5,192,182,44,125,150,382,143
1617912000,5,5,5,5,3,6,191,181,42,122,140,382,143
1617998400,4,4,4,4,3,5,191,178,43,119,140,380,139
1618088400,5,4,5,5,2,6,190,178,47,115,153,379,138
1618171200,5,5,5,5,3,5,189,178,45,116,150,379,138
1618261200,5,4,5,4,3,5,188,179,44,113,151,377,141
1618347600,6,5,5,4,3,6,187,176,44,116,152,377,145
1618430400,5,5,4,4,3,6,187,176,44,117,149,378,145
1618516800,5,5,5,5,4,6,187,174,43,118,147,378,144
1618603200,5,5,5,4,3,6,187,174,44,117,146,376,145
1618689600,5,5,5,5,4,6,186,173,45,119,146,375,146
1618776000,5,5,4,4,2,6,186,172,45,118,141,373,147
1618862400,5,5,4,5,4,6,186,171,45,119,126,370,146
1618948800,5,5,5,5,4,5,185,169,43,118,119,368,146
1619035200,5,4,5,4,4,5,184,168,43,116,113,367,148
1619121600,5,4,5,5,3,6,184,168,43,115,108,364,146
1619208000,5,5,5,5,4,6,183,167,42,116,108,365,147
1619316000,5,5,4,5,4,5,182,168,40,118,102,363,145
1619380800,5,5,5,5,4,5,183,172,40,117,104,362,132
1619467200,4,5,5,4,3,6,182,175,40,119,113,361,144
1619553600,5,4,5,4,4,6,181,174,42,119,121,360,144
1619640000,5,5,5,4,3,5,179,176,42,118,129,357,143
1619726400,5,5,5,5,4,5,178,176,43,118,134,358,144
1619823600,5,5,5,5,3,6,180,174,43,120,128,357,148
1619899200,5,5,5,4,4,6,182,173,45,119,126,358,147
1619989200,5,5,5,4,3,6,184,171,45,111,132,364,145
1620072000,5,5,4,4,4,5,188,171,46,116,131,363,146
1620158400,5,5,5,4,4,5,190,168,46,117,129,362,140
1620244800,4,5,4,5,3,5,192,167,46,116,128,361,145
1620331200,5,5,5,5,3,6,192,166,45,117,121,357,145
1620417600,5,5,5,5,4,6,190,165,45,117,121,353,145
1620504000,5,5,5,4,3,6,189,164,45,118,120,350,143
1620590400,5,5,5,4,3,5,191,166,43,118,118,348,143
1620676800,5,5,5,5,4,5,193,165,42,114,115,345,145
1620763200,5,5,5,5,3,5,195,165,42,114,115,343,146
1620849600,5,5,5,5,3,6,194,165,43,120,113,339,146
1620936000,5,5,5,5,4,5,196,170,44,119,112,340,144
1621022400,5,5,5,4,4,5,197,171,45,120,113,339,143
1621108800,5,4,5,5,3,5,200,171,48,118,122,340,143
1621195200,5,5,5,5,4,6,202,171,46,114,118,339,132
1621281600,5,5,5,5,4,6,202,171,46,114,118,339,132
1621368000,5,5,5,5,3,6,198,168,43,119,109,338,140
1621454400,5,5,5,4,2,6,198,169,43,119,108,340,145
1621540800,5,4,4,5,3,6,197,170,44,119,107,345,145
1621627200,5,5,5,5,4,6,195,167,45,119,116,343,145
1621713600,5,4,5,5,3,6,195,168,45,119,108,343,143
1621800000,5,5,5,4,3,6,192,168,46,120,108,344,145
1621886400,5,5,5,5,3,5,188,167,44,119,105,344,145
1621972800,4,5,4,5,3,5,185,168,45,123,103,343,144
1622059200,5,4,5,4,3,6,184,171,45,125,103,345,145
1622145600,5,4,4,5,2,6,183,171,46,126,100,354,142
1622232000,5,5,5,5,2,6,178,172,46,126,100,367,144
1622318400,5,5,4,5,2,4,178,175,45,122,101,367,143
1622404800,5,5,5,5,3,6,178,183,45,124,104,374,147
1622491200,5,5,5,5,3,6,187,184,45,128,109,373,144
1622577600,5,4,5,5,2,3,189,189,46,130,109,374,144
1622664000,5,4,5,5,3,5,189,187,45,130,109,374,144
1622750400,5,5,4,5,2,6,194,188,47,142,119,373,145
1622836800,5,5,5,5,2,4,193,189,47,135,124,373,146
1622923200,5,5,5,5,3,6,196,189,48,136,124,374,146
1623009600,4,4,5,4,2,5,196,184,50,130,119,382,136
1623096000,5,5,5,5,2,6,199,186,48,130,116,383,145
1623182400,5,5,5,5,3,6,199,187,46,124,118,384,144
1623268800,5,4,5,5,2,6,199,186,46,120,118,390,145
1623355200,4,4,5,5,2,4,200,183,45,122,115,389,145
1623441600,5,5,5,5,3,6,201,183,44,122,114,391,146
